file,track_name,start_lat,start_lon,start_alt,distance_km,begin_time,end_time,time_gap_hours,start_month,start_year
2714.kml,,30.9776908,81.2858857,4666.08,0.43754902870514994,2024-06-13 18:49:19,2024-06-14 06:18:06,11.48,6,2024
2715.kml,,30.9777219,81.2858789,4664.33,0.44106728044483273,2024-06-15 18:37:05,2024-06-16 05:02:58,10.43,6,2024
2716.kml,,30.9776578,81.2857646,4661.39,0.43612367633807914,2024-06-19 18:07:50,2024-06-20 04:15:14,10.12,6,2024
2717.kml,,30.9776808,81.285814,4674.59,0.4377062054290737,2024-06-20 18:51:09,2024-06-21 04:45:56,9.91,6,2024
2718.kml,,30.9773478,81.2873439,4646.81,0.3975725577195251,2024-07-29 17:33:36,2024-07-30 04:57:20,11.4,7,2024
2719.kml,,30.9773738,81.2874538,4656.37,0.4021937426020073,2024-08-02 17:48:29,2024-08-03 03:18:51,9.51,8,2024
2720.kml,,30.9774111,81.2874054,4657.05,0.4054711696460682,2024-08-04 18:20:54,2024-08-05 05:15:35,10.91,8,2024
2721.kml,,30.9773993,81.287405,4664.14,0.40417141558925174,2024-08-08 18:46:25,2024-08-09 03:30:02,8.73,8,2024
2722.kml,,30.9774417,81.2874163,4670.26,0.4090003544012359,2024-08-10 18:14:25,2024-08-11 04:23:40,10.15,8,2024
2723.kml,,30.9774645,81.2874897,4664.89,0.4127351711551845,2024-09-15 18:22:23,2024-09-16 03:10:26,8.8,9,2024
2724.kml,,30.9773502,81.2874473,4652.63,0.3995007220097663,2024-09-17 19:32:55,2024-09-18 05:28:43,9.93,9,2024
2725.kml,,30.9772911,81.2874825,4646.61,0.3936699537280584,2024-09-18 18:46:30,2024-09-19 05:17:23,10.51,9,2024
2726.kml,,30.9774372,81.2872798,4661.27,0.40650217327799615,2024-09-20 18:56:40,2024-09-21 04:43:13,9.78,9,2024
2727.kml,,30.9774318,81.2872866,4660.02,0.4059979054913226,2024-09-21 18:33:27,2024-09-22 04:13:10,9.66,9,2024
2728.kml,,30.9753302,81.2868861,4642.13,0.16934045877635007,2024-09-22 18:39:24,2024-09-23 04:10:50,9.52,9,2024
2729.kml,,30.9773295,81.2874156,4645.14,0.39669862486752816,2024-09-29 18:33:31,2024-09-30 03:31:25,8.96,9,2024
2730.kml,,30.975686,81.285282,4669.817759,0.2474124794817439,2024-11-09 18:06:31,2024-11-10 01:17:11,7.18,11,2024
2731.kml,,30.977354,81.2885212,4659.94,0.43035929384105526,2024-09-09 12:41:25,2024-09-10 02:12:05,13.51,9,2024
2732.kml,,30.977354,81.2885212,4659.94,0.43035929384105526,2024-09-09 12:41:25,2024-09-10 02:12:05,13.51,9,2024
2736.kml,,30.9773408,81.2885781,4658.29,0.4312547766394382,2024-05-14 15:51:55,2024-05-15 08:32:51,16.68,5,2024
2738.kml,,30.976298,81.285812,4669.447794,0.2883177440726283,2024-03-16 12:57:51,2024-03-18 08:04:59,43.12,3,2024
